StreamCatVar,SCmetrics,Year,Label,DataSource
coalminedens,coalminedens,NA,Coal mine density (mines/sq km),USGS NCRDS
n_ags_,n_ags_1987,1987,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1988,1988,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1989,1989,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1990,1990,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1991,1991,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1992,1992,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1993,1993,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1994,1994,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1995,1995,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1996,1996,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1997,1997,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1998,1998,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_1999,1999,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2000,2000,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2001,2001,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2002,2002,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2003,2003,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2004,2004,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2005,2005,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2006,2006,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2007,2007,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2008,2008,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2009,2009,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2010,2010,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2011,2011,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2012,2012,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2013,2013,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2014,2014,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2015,2015,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2016,2016,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_ags_,n_ags_2017,2017,N agricultural surplus (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1987,1987,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1988,1988,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1989,1989,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1990,1990,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1991,1991,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1992,1992,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1993,1993,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1994,1994,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1995,1995,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1996,1996,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1997,1997,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1998,1998,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_1999,1999,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_2000,2000,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_2001,2001,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_2002,2002,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_2003,2003,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_2004,2004,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
n_cr_,n_cr_2005,2005,N removed from agricultural fields via crop output harvest (kg),US EPA National Nutrient Inventory
